species,label_idx,filepath,group,fold
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_56_aug.jpg,Delichon urbicum,4
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_570_aug.jpg,Columba livia,2
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_571_aug.jpg,Turdus merula,4
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_572_aug.jpg,Serinus serinus,1
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_573_aug.jpg,Ciconia ciconia,1
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_574_aug.jpg,Carduelis carduelis,0
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_575_aug.jpg,Delichon urbicum,4
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_576_aug.jpg,Ciconia ciconia,1
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_577_aug.jpg,Ciconia ciconia,1
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_578_aug.jpg,Emberiza calandra,3
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_579_aug.jpg,Ciconia ciconia,1
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_57_aug.jpg,Passer domesticus,3
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_580_aug.jpg,Carduelis carduelis,0
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_581_aug.jpg,Sturnus unicolor,2
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_582_aug.jpg,Ciconia ciconia,1
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_583_aug.jpg,Ciconia ciconia,1
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_584_aug.jpg,Columba livia,2
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_585_aug.jpg,Streptopelia decaocto,4
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_586_aug.jpg,Serinus serinus,1
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_587_aug.jpg,Streptopelia decaocto,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_588_aug.jpg,Turdus merula,4
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_589_aug.jpg,Sturnus unicolor,2
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_58_aug.jpg,Streptopelia decaocto,4
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_590_aug.jpg,Ciconia ciconia,1
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_591_aug.jpg,Streptopelia decaocto,4
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_592_aug.jpg,Ciconia ciconia,1
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_593_aug.jpg,Turdus merula,4
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_594_aug.jpg,Streptopelia decaocto,4
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_595_aug.jpg,Ciconia ciconia,1
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_596_aug.jpg,Passer domesticus,3
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_597_aug.jpg,Ciconia ciconia,1
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_598_aug.jpg,Serinus serinus,1
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_599_aug.jpg,Turdus merula,4
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_59_aug.jpg,Streptopelia decaocto,4
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_5_aug.jpg,Hirundo rustica,0
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_60_aug.jpg,Serinus serinus,1
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_61_aug.jpg,Emberiza calandra,3
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_62_aug.jpg,Streptopelia decaocto,4
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_63_aug.jpg,Carduelis carduelis,0
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_64_aug.jpg,Serinus serinus,1
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_65_aug.jpg,Emberiza calandra,3
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_66_aug.jpg,Emberiza calandra,3
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_67_aug.jpg,Sturnus unicolor,2
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_68_aug.jpg,Columba livia,2
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_69_aug.jpg,Emberiza calandra,3
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_6_aug.jpg,Delichon urbicum,4
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_70_aug.jpg,Delichon urbicum,4
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_71_aug.jpg,Sturnus unicolor,2
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_72_aug.jpg,Passer domesticus,3
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_73_aug.jpg,Streptopelia decaocto,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_74_aug.jpg,Turdus merula,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_75_aug.jpg,Passer domesticus,3
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_76_aug.jpg,Ciconia ciconia,1
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_77_aug.jpg,Sturnus unicolor,2
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_78_aug.jpg,Passer domesticus,3
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_79_aug.jpg,Emberiza calandra,3
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_7_aug.jpg,Hirundo rustica,0
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_80_aug.jpg,Hirundo rustica,0
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_81_aug.jpg,Turdus merula,4
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_82_aug.jpg,Ciconia ciconia,1
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_83_aug.jpg,Columba livia,2
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_84_aug.jpg,Ciconia ciconia,1
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_85_aug.jpg,Sturnus unicolor,2
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_86_aug.jpg,Serinus serinus,1
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_87_aug.jpg,Streptopelia decaocto,4
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_88_aug.jpg,Serinus serinus,1
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_89_aug.jpg,Delichon urbicum,4
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_8_aug.jpg,Carduelis carduelis,0
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_90_aug.jpg,Serinus serinus,1
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_91_aug.jpg,Hirundo rustica,0
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_92_aug.jpg,Emberiza calandra,3
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_93_aug.jpg,Columba livia,2
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_94_aug.jpg,Hirundo rustica,0
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_95_aug.jpg,Ciconia ciconia,1
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_96_aug.jpg,Turdus merula,4
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_97_aug.jpg,Ciconia ciconia,1
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_98_aug.jpg,Passer domesticus,3
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_99_aug.jpg,Carduelis carduelis,0
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_9_aug.jpg,Carduelis carduelis,0
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_0_aug.jpg,Passer domesticus,3
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_100_aug.jpg,Emberiza calandra,3
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_101_aug.jpg,Sturnus unicolor,2
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_102_aug.jpg,Carduelis carduelis,0
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_103_aug.jpg,Sturnus unicolor,2
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_104_aug.jpg,Sturnus unicolor,2
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_105_aug.jpg,Sturnus unicolor,2
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_106_aug.jpg,Emberiza calandra,3
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_107_aug.jpg,Delichon urbicum,4
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_108_aug.jpg,Passer domesticus,3
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_109_aug.jpg,Carduelis carduelis,0
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_10_aug.jpg,Carduelis carduelis,0
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_110_aug.jpg,Emberiza calandra,3
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_111_aug.jpg,Emberiza calandra,3
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_112_aug.jpg,Ciconia ciconia,1
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_113_aug.jpg,Serinus serinus,1
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_114_aug.jpg,Streptopelia decaocto,4
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_115_aug.jpg,Passer domesticus,3
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_116_aug.jpg,Emberiza calandra,3
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_117_aug.jpg,Passer domesticus,3
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_118_aug.jpg,Serinus serinus,1
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_119_aug.jpg,Hirundo rustica,0
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_11_aug.jpg,Emberiza calandra,3
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_120_aug.jpg,Carduelis carduelis,0
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_121_aug.jpg,Ciconia ciconia,1
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_122_aug.jpg,Serinus serinus,1
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_123_aug.jpg,Ciconia ciconia,1
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_124_aug.jpg,Sturnus unicolor,2
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_125_aug.jpg,Columba livia,2
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_126_aug.jpg,Ciconia ciconia,1
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_127_aug.jpg,Ciconia ciconia,1
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_128_aug.jpg,Streptopelia decaocto,4
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_129_aug.jpg,Turdus merula,4
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_12_aug.jpg,Passer domesticus,3
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_130_aug.jpg,Serinus serinus,1
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_131_aug.jpg,Passer domesticus,3
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_132_aug.jpg,Streptopelia decaocto,4
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_133_aug.jpg,Passer domesticus,3
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_134_aug.jpg,Columba livia,2
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_135_aug.jpg,Emberiza calandra,3
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_136_aug.jpg,Hirundo rustica,0
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_137_aug.jpg,Delichon urbicum,4
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_138_aug.jpg,Streptopelia decaocto,4
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_139_aug.jpg,Streptopelia decaocto,4
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_13_aug.jpg,Turdus merula,4
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_140_aug.jpg,Streptopelia decaocto,4
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_141_aug.jpg,Hirundo rustica,0
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_142_aug.jpg,Hirundo rustica,0
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_143_aug.jpg,Turdus merula,4
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_144_aug.jpg,Columba livia,2
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_145_aug.jpg,Columba livia,2
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_146_aug.jpg,Sturnus unicolor,2
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_147_aug.jpg,Hirundo rustica,0
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_148_aug.jpg,Carduelis carduelis,0
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_149_aug.jpg,Columba livia,2
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_14_aug.jpg,Columba livia,2
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_150_aug.jpg,Ciconia ciconia,1
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_151_aug.jpg,Ciconia ciconia,1
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_152_aug.jpg,Emberiza calandra,3
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_153_aug.jpg,Turdus merula,4
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_154_aug.jpg,Hirundo rustica,0
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_155_aug.jpg,Columba livia,2
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_156_aug.jpg,Delichon urbicum,4
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_157_aug.jpg,Hirundo rustica,0
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_158_aug.jpg,Emberiza calandra,3
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_159_aug.jpg,Carduelis carduelis,0
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_15_aug.jpg,Serinus serinus,1
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_160_aug.jpg,Ciconia ciconia,1
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_161_aug.jpg,Ciconia ciconia,1
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_162_aug.jpg,Columba livia,2
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_163_aug.jpg,Serinus serinus,1
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_164_aug.jpg,Streptopelia decaocto,4
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_165_aug.jpg,Delichon urbicum,4
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_166_aug.jpg,Passer domesticus,3
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_167_aug.jpg,Passer domesticus,3
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_168_aug.jpg,Sturnus unicolor,2
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_169_aug.jpg,Serinus serinus,1
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_16_aug.jpg,Delichon urbicum,4
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_170_aug.jpg,Hirundo rustica,0
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_171_aug.jpg,Serinus serinus,1
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_172_aug.jpg,Serinus serinus,1
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_173_aug.jpg,Turdus merula,4
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_174_aug.jpg,Passer domesticus,3
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_175_aug.jpg,Hirundo rustica,0
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_176_aug.jpg,Turdus merula,4
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_177_aug.jpg,Serinus serinus,1
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_178_aug.jpg,Hirundo rustica,0
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_179_aug.jpg,Delichon urbicum,4
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_17_aug.jpg,Streptopelia decaocto,4
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_180_aug.jpg,Passer domesticus,3
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_181_aug.jpg,Passer domesticus,3
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_182_aug.jpg,Hirundo rustica,0
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_183_aug.jpg,Emberiza calandra,3
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_184_aug.jpg,Hirundo rustica,0
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_185_aug.jpg,Sturnus unicolor,2
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_186_aug.jpg,Turdus merula,4
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_187_aug.jpg,Carduelis carduelis,0
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_188_aug.jpg,Columba livia,2
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_189_aug.jpg,Emberiza calandra,3
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_18_aug.jpg,Columba livia,2
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_190_aug.jpg,Columba livia,2
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_191_aug.jpg,Serinus serinus,1
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_192_aug.jpg,Emberiza calandra,3
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_193_aug.jpg,Turdus merula,4
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_194_aug.jpg,Hirundo rustica,0
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_195_aug.jpg,Columba livia,2
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_196_aug.jpg,Serinus serinus,1
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_197_aug.jpg,Carduelis carduelis,0
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_198_aug.jpg,Passer domesticus,3
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_199_aug.jpg,Delichon urbicum,4
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_19_aug.jpg,Turdus merula,4
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_1_aug.jpg,Streptopelia decaocto,4
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_200_aug.jpg,Streptopelia decaocto,4
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_201_aug.jpg,Serinus serinus,1
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_202_aug.jpg,Ciconia ciconia,1
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_203_aug.jpg,Ciconia ciconia,1
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_204_aug.jpg,Emberiza calandra,3
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_205_aug.jpg,Serinus serinus,1
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_206_aug.jpg,Turdus merula,4
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_207_aug.jpg,Streptopelia decaocto,4
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_208_aug.jpg,Delichon urbicum,4
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_209_aug.jpg,Ciconia ciconia,1
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_20_aug.jpg,Delichon urbicum,4
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_210_aug.jpg,Carduelis carduelis,0
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_211_aug.jpg,Emberiza calandra,3
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_212_aug.jpg,Emberiza calandra,3
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_213_aug.jpg,Delichon urbicum,4
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_214_aug.jpg,Delichon urbicum,4
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_215_aug.jpg,Delichon urbicum,4
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_216_aug.jpg,Emberiza calandra,3
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_217_aug.jpg,Hirundo rustica,0
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_218_aug.jpg,Streptopelia decaocto,4
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_219_aug.jpg,Sturnus unicolor,2
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_21_aug.jpg,Emberiza calandra,3
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_220_aug.jpg,Carduelis carduelis,0
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_221_aug.jpg,Serinus serinus,1
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_222_aug.jpg,Emberiza calandra,3
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_223_aug.jpg,Turdus merula,4
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_224_aug.jpg,Carduelis carduelis,0
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_225_aug.jpg,Emberiza calandra,3
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_226_aug.jpg,Streptopelia decaocto,4
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_227_aug.jpg,Hirundo rustica,0
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_228_aug.jpg,Turdus merula,4
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_229_aug.jpg,Emberiza calandra,3
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_22_aug.jpg,Emberiza calandra,3
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_230_aug.jpg,Delichon urbicum,4
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_231_aug.jpg,Ciconia ciconia,1
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_232_aug.jpg,Serinus serinus,1
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_233_aug.jpg,Hirundo rustica,0
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_234_aug.jpg,Turdus merula,4
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_235_aug.jpg,Hirundo rustica,0
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_236_aug.jpg,Hirundo rustica,0
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_237_aug.jpg,Serinus serinus,1
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_238_aug.jpg,Turdus merula,4
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_239_aug.jpg,Turdus merula,4
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_23_aug.jpg,Sturnus unicolor,2
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_240_aug.jpg,Delichon urbicum,4
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_241_aug.jpg,Serinus serinus,1
Delichon urbicum,3,Ciconia_ciconia/Ciconia_ciconia_242_aug.jpg,Delichon urbicum,4
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_243_aug.jpg,Streptopelia decaocto,4
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_244_aug.jpg,Sturnus unicolor,2
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_245_aug.jpg,Streptopelia decaocto,4
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_246_aug.jpg,Turdus merula,4
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_247_aug.jpg,Ciconia ciconia,1
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_248_aug.jpg,Serinus serinus,1
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_249_aug.jpg,Passer domesticus,3
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_24_aug.jpg,Streptopelia decaocto,4
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_250_aug.jpg,Serinus serinus,1
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_251_aug.jpg,Serinus serinus,1
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_252_aug.jpg,Carduelis carduelis,0
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_253_aug.jpg,Turdus merula,4
Passer domesticus,6,Ciconia_ciconia/Ciconia_ciconia_254_aug.jpg,Passer domesticus,3
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_255_aug.jpg,Carduelis carduelis,0
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_256_aug.jpg,Serinus serinus,1
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_257_aug.jpg,Serinus serinus,1
Streptopelia decaocto,8,Ciconia_ciconia/Ciconia_ciconia_258_aug.jpg,Streptopelia decaocto,4
Turdus merula,10,Ciconia_ciconia/Ciconia_ciconia_259_aug.jpg,Turdus merula,4
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_25_aug.jpg,Emberiza calandra,3
Emberiza calandra,4,Ciconia_ciconia/Ciconia_ciconia_260_aug.jpg,Emberiza calandra,3
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_261_aug.jpg,Hirundo rustica,0
Serinus serinus,7,Ciconia_ciconia/Ciconia_ciconia_262_aug.jpg,Serinus serinus,1
Ciconia ciconia,1,Ciconia_ciconia/Ciconia_ciconia_263_aug.jpg,Ciconia ciconia,1
Carduelis carduelis,0,Ciconia_ciconia/Ciconia_ciconia_264_aug.jpg,Carduelis carduelis,0
Hirundo rustica,5,Ciconia_ciconia/Ciconia_ciconia_265_aug.jpg,Hirundo rustica,0
Columba livia,2,Ciconia_ciconia/Ciconia_ciconia_266_aug.jpg,Columba livia,2
Sturnus unicolor,9,Ciconia_ciconia/Ciconia_ciconia_267_aug.jpg,Sturnus unicolor,2
